,house_type,price,Hydro,Water,Heat,smoke,outdor_space,air_conditioning,appliances,furnished,pet_friendly,parking,size_S/Q,wifi_more,Bathrooms,Bedrooms
634,Apartment,"$1,898",Not Included,Not Included,Not Included,Outdoors only,Balcony,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,554,['Not Included'],[' 1'],[' 1']
635,Basement,"$1,500",Yes,Yes,Yes,No,Not Included,No,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,1,600,"['Cable / TV', 'Internet']",[' 1'],[' 1']
636,Apartment,"$1,737",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,0,683,['Not Included'],[' 1'],[' 1']
637,Apartment,"$1,183",No,Yes,Yes,No,Yard,No,"['Dishwasher', 'Fridge / Freezer']",No,Yes,0,652,['Not Included'],[' 1'],[' 1']
638,Apartment,"$2,072",No,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,0,549,['Not Included'],[' 1'],[' 1']
639,Apartment,"$2,023",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,474,['Not Included'],[' 1'],[' Bachelor/Studio']
640,Apartment,"$2,574",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,"1,529",['Not Included'],[' 1'],[' 1']
641,Apartment,"$1,899",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,439,['Not Included'],[' 1'],[' 1']
642,Apartment,"$1,798",No,Yes,Yes,No,Not Included,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,No,0,717,['Not Included'],[' 1'],[' 1']
643,Apartment,"$1,904",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,624,['Not Included'],[' 1'],[' 1']
644,Apartment,"$1,925",No,Yes,Yes,No,Balcony,No,['Fridge / Freezer'],No,No,0,524,['Not Included'],[' 1'],[' 1']
645,Apartment,"$2,112",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Fridge / Freezer']",No,Yes,0,541,['Not Included'],[' 1'],[' 1']
646,Apartment,"$1,964",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,No,0,459,['Not Included'],[' 1'],[' 1']
647,Apartment,"$2,178",No,Yes,Yes,No,Balcony,No,['Fridge / Freezer'],No,No,0,872,['Not Included'],[' 1'],[' 2']
648,Apartment,"$3,104",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,No,0,888,['Not Included'],[' 2'],[' 2']
649,Apartment,"$1,747",No,Yes,Yes,No,Balcony,No,"['Laundry (In Building)', 'Dishwasher', 'Fridge / Freezer']",No,Yes,0,432,['Not Included'],[' 1'],[' 1']
650,Townhouse,"$2,000",Not Included,Not Included,Not Included,No,Balcony,Yes,"['Laundry (In Unit)', 'Dishwasher', 'Fridge / Freezer']",No,No,2,"1,600",['Not Included'],[' 2.5'],[' 3']
